"","n","allee","allee.f","initial.slope","slope.after.thresh"
"1",1,FALSE,"without Allee effect",1.22697345101557,2.0389979220088
"2",2,TRUE,"with Allee effect",0.782428814129369,2.12130909115248
"3",3,FALSE,"without Allee effect",1.23202683126425,1.84065685566882
"4",4,TRUE,"with Allee effect",0.301157965031531,6.0501118174033
"5",5,FALSE,"without Allee effect",0.889922812960989,1.86755673404178
"6",6,TRUE,"with Allee effect",0.182726869823167,6.6153215916569
"7",8,TRUE,"with Allee effect",1.07727591898191,2.41898651871636
"8",10,TRUE,"with Allee effect",0.94276254828906,2.41434147352622
"9",11,FALSE,"without Allee effect",0.777607578663431,1.43526548661661
"10",12,TRUE,"with Allee effect",0.24029005937651,1.92134087378295
"11",13,FALSE,"without Allee effect",1.00478044916159,1.64382349229149
"12",16,TRUE,"with Allee effect",0.774756729399356,3.04969785861212
"13",18,TRUE,"with Allee effect",0.713706492364847,3.1819128585226
"14",20,TRUE,"with Allee effect",0.715502871380843,2.23053214310078
"15",22,TRUE,"with Allee effect",0.657199449930549,2.88613782914793
"16",23,FALSE,"without Allee effect",0.891412235621139,2.13967484723157
"17",24,TRUE,"with Allee effect",0.552086441662034,2.27347947765595
"18",26,TRUE,"with Allee effect",0.977508397068096,2.34342179936171
"19",27,FALSE,"without Allee effect",0.880699808458911,1.59664521535464
"20",28,TRUE,"with Allee effect",0.206520377933995,2.88676315593266
"21",29,FALSE,"without Allee effect",0.902874827482357,1.76014496897172
"22",30,TRUE,"with Allee effect",0.67039812356273,2.88781483966905
"23",32,TRUE,"with Allee effect",0.711733980749287,1.91756554765176
"24",33,FALSE,"without Allee effect",0.692153210173873,1.69130264508195
"25",34,TRUE,"with Allee effect",0.781653080442541,1.84556617350061
"26",35,FALSE,"without Allee effect",1.11343668167762,2.26265130488067
"27",36,TRUE,"with Allee effect",0.788386824562186,2.198700857161
"28",37,FALSE,"without Allee effect",0.869563291822055,1.77281157473787
"29",38,TRUE,"with Allee effect",0.566109864668364,1.81546845810313
"30",39,FALSE,"without Allee effect",0.940062895169789,1.6975685329842
"31",40,TRUE,"with Allee effect",0.865298401018147,2.99937138335414
"32",44,TRUE,"with Allee effect",1.10904366059809,2.28329286362537
"33",47,FALSE,"without Allee effect",1.18821384021627,0.241344427206369
"34",48,TRUE,"with Allee effect",1.29330837220719,0.044457161387385
